city,county,lat,lon,province,staID,staName,type
兴安盟,乌兰浩特市,46.0707,122.0931,内蒙古,3035A,北滨河(启用170221),B
东营,经济开发区,37.4338,118.6904,山东,3036A,开发区管委会(启用170301),B
三门峡,湖滨区,34.7829,111.1911,河南,3039A,三门峡市第一小学(启用170307),B
商洛,商州区,33.8471,109.9643,陕西,3045A,商州区中学(启用170905),B
南昌,青云谱区,28.6062,115.9084,江西,3046A,机电学校(启用170322),B
天津,滨海新区,39.1495,117.3916,天津,3051A,西四道(启用170426),B
新乡,红旗区,35.2847,113.9194,河南,3054A,市委党校(启用170505),B
赤峰,元宝山区,42.0353,119.2658,内蒙古,3058A,银河街(启用170524),B
济南,莱芜区,36.2049,117.7161,山东,3059A,泰兴公司(启用170519),B
呼伦贝尔,海拉尔区,49.1577,119.7512,内蒙古,3061A,国华电力东(启用170601),B
济南,莱芜区,36.2171,117.6867,山东,3064A,莱芜战役纪念馆(启用170603),B
甘孜州,康定市,29.9972,101.9533,四川,3065A,州环保局(启用170614),B
德州,德城区,37.4379,116.2721,山东,3066A,九衢泉纯净水厂(启用170613),B
安顺,西秀区,26.2564,105.9439,贵州,3124A,金钟山(启用171013),B
安顺,西秀区,26.2481,105.8983,贵州,3125A,娄家坡(启用171013),B
那曲,色尼区,31.4797,92.0506,西藏,3128A,那曲会议中心(启用170919),B
张家口,桥东区,40.7993,114.879,河北,3131A,烟厂(启用171012),B
秦皇岛,海港区,39.9392,119.6037,河北,3132A,文明里(启用171013),B
重庆,渝中区,29.5654,106.5468,重庆,3133A,上清寺(启用170928),B
成都,龙泉驿区,30.5589,104.2725,四川,3136A,龙泉驿区区政府(启用171027),B
常德,鼎城区,28.9881,111.6892,湖南,3139A,鼎城区玉霞(启用171130),B
常德,武陵区,29.0531,111.6625,湖南,3140A,武陵区长庚(启用171201),B
安阳,文峰区,36.0878,114.3922,河南,3141A,信访局(启用171207),B
开封,龙亭区,34.8106,114.3438,河南,3147A,龙亭公园(启用180109),B
眉山,东坡区,30.0564,103.8291,四川,3148A,区人社局(启用180111),B
黄石,黄石经济技术开发区,30.1578,115.0235,湖北,3149A,笔架山北路,B
宜春,袁州区,27.8097,114.375,江西,3151A,宜春学院北校区(181229启用),B
武汉,东湖高新技术开发区,30.4908,114.3877,湖北,3153A,民族大道182号(启用180213),B
扬州,广陵区,32.3942,119.4686,江苏,3164A,广陵建设局(启用180626),B
咸阳,秦都区,34.2969,108.6594,陕西,3165A,两寺渡(启用180627),B
焦作,山阳区,35.2071,113.2725,河南,3169A,太极体育中心(启用180720),B
商丘,梁园区,34.4465,115.6071,河南,3171A,梁园区档案局(20190220启用),B
安庆,经开区,30.5351,117.0598,安徽,3173A,市人大(启用180816),B
昆明,官渡区,25.0119,102.7494,云南,3179A,官渡区博物馆(180930启用),B
迪庆州,香格里拉市,27.8094,99.7136,云南,3180A,质量技术监督局(20180930启用),B
巴中,巴州区,31.8545,106.7656,四川,3182A,丽阳花园(启用181029),B
兰州,安宁区,36.1058,103.7158,甘肃,3186A,教育港(启用181115),B
宿州,埇桥区,33.666,116.9509,安徽,3187A,远航博物馆(20181204启用),B
衡水,桃城区,37.7217,115.6683,河北,3188A,市城管局(20181124启用),B
九江,濂溪区,29.6994,116.0254,江西,3190A,外国语学校(20181128启用),B
宿迁,宿豫区,33.9447,118.3225,江苏,3191A,宿豫区政府(20181206启用),B
阿里地区,噶尔县,32.5028,80.0903,西藏,3192A,阿里地区藏医院(20181130启用),B
荆州,开发区,30.3122,112.2747,湖北,3194A,管委会,B
扬州,邗江区,32.3972,119.3633,江苏,3195A,市体育局(181219启用),B
平顶山,湛河区,33.73,113.3025,河南,3204A,规划局(20190304启用),B
新余,渝水区,27.807,114.9149,江西,3206A,新钢沁园村(20190301启用),B
滁州,琅琊区,32.3038,118.3118,安徽,3207A,市政府原办公楼(20190308启用),B
宁德,蕉城区,26.6562,119.5231,福建,3209A,宁德一中(20190319启用),B
开封,顺河回族区,34.7964,114.3644,河南,3210A,汴京公园(20190322启用),B
漳州,芗城区,24.5157,117.6569,福建,3216A,漳州党校(20190503启用),B
池州,贵池区,30.6617,117.4918,安徽,3237A,展览馆(190815启用),B
兰州,七里河区,36.0842,103.7439,甘肃,3241A,百合公园(新增191227),B
兰州,榆中县,35.998,103.9611,甘肃,3242A,和平(新增200315),B
,新区,36.533,103.6633,,3245A,新区管委会(新增191218),B
,新区,36.4789,103.6975,,3246A,舟曲中学(新增200310),B
上海,宝山区,31.3322,121.4316,上海,3265A,宝山庙行(新增200109),B
上海,崇明区,31.4662,121.8791,上海,3266A,崇明上实东滩(新增191229),B
上海,嘉定区,31.2838,121.3162,上海,3268A,嘉定南翔(新增191229),B
上海,金山区,30.7456,121.3359,上海,3269A,金山新城(新增200113),B
上海,闵行区,31.0739,121.4996,上海,3270A,闵行浦江(新增200109),B
上海,青浦区,31.1663,121.2886,上海,3271A,青浦徐泾(新增191229),B
上海,松江区,31.0378,121.2186,上海,3272A,松江图书馆(新增200109),B
上海,长宁区,31.2059,121.3902,上海,3273A,长宁仙霞(新增200107),B
上海,浦东新区,31.0507,121.7965,上海,3274A,浦东惠南(新增191229),B
